month,n,mean_score,share_neg,share_pos
2020-01,2988,0.017943189,0.3035475234270415,0.2918340026773762
2020-02,3606,-0.03757685,0.348585690515807,0.2579034941763727
2020-03,24111,0.027212942,0.29326863257434366,0.29256356020073826
2020-04,9256,0.0076501817,0.3271391529818496,0.2957000864304235
2020-05,5731,-0.10294888,0.39452102599895306,0.24149363112894784
2020-06,8530,0.32762587,0.2018757327080891,0.5493552168815944
2020-07,8436,-0.15543884,0.39497392128971076,0.18598862019914653
2020-08,4565,-0.08957134,0.36297918948521357,0.21752464403066812
2020-09,5006,-0.19234602,0.4606472233320016,0.1951658010387535
2020-10,6348,-0.09941885,0.425645872715816,0.2726843100189036
2020-11,8254,-0.034001146,0.357160164768597,0.3434698328083354
2020-12,5901,0.024578152,0.29655990510083036,0.2997796983562108
